#Latitude:North-South 00~09,..., 80_89 90~99,..., H0~H9
#Longitude:East-West  00~09,..., H0~H9 I0~I9, ..., Z0~Z9
30C0,-3000000,-2000000,3000000,4000000
30D0,-2000000,-1000000,3000000,4000000
30E0,-1000000,0,3000000,4000000
30F0,0,1000000,3000000,4000000
30G0,1000000,2000000,3000000,4000000
30H0,2000000,3000000,3000000,4000000
30I0,-1.6E+07,-1.5E+07,3000000,4000000
30J0,-1.7E+07,-1.6E+07,3000000,4000000
30K0,-1.8E+07,-1.7E+07,3000000,4000000
30L0,1.7E+07,1.8E+07,3000000,4000000
30M0,1.6E+07,1.7E+07,3000000,4000000
30N0,1.5E+07,1.6E+07,3000000,4000000
30O0,1.4E+07,1.5E+07,3000000,4000000
30P0,1.3E+07,1.4E+07,3000000,4000000
30Q0,1.2E+07,1.3E+07,3000000,4000000
30R0,1.1E+07,1.2E+07,3000000,4000000
30S0,1E+07,1.1E+07,3000000,4000000
30T0,9000000,1E+07,3000000,4000000
30U0,8000000,9000000,3000000,4000000
30V0,7000000,8000000,3000000,4000000
30W0,6000000,7000000,3000000,4000000
30X0,5000000,6000000,3000000,4000000
30Y0,4000000,5000000,3000000,4000000
30Z0,3000000,4000000,3000000,4000000
4000,-1.5E+07,-1.4E+07,4000000,5000000
4010,-1.4E+07,-1.3E+07,4000000,5000000
4020,-1.3E+07,-1.2E+07,4000000,5000000
4030,-1.2E+07,-1.1E+07,4000000,5000000
4040,-1.1E+07,-1E+07,4000000,5000000
4050,-1E+07,-9000000,4000000,5000000
4060,-9000000,-8000000,4000000,5000000
4070,-8000000,-7000000,4000000,5000000
4080,-7000000,-6000000,4000000,5000000
4090,-6000000,-5000000,4000000,5000000
40A0,-5000000,-4000000,4000000,5000000
40B0,-4000000,-3000000,4000000,5000000
40C0,-3000000,-2000000,4000000,5000000
40D0,-2000000,-1000000,4000000,5000000
40E0,-1000000,0,4000000,5000000
40F0,0,1000000,4000000,5000000
40G0,1000000,2000000,4000000,5000000
40H0,2000000,3000000,4000000,5000000
40I0,-1.6E+07,-1.5E+07,4000000,5000000
40J0,-1.7E+07,-1.6E+07,4000000,5000000
40K0,-1.8E+07,-1.7E+07,4000000,5000000
40L0,1.7E+07,1.8E+07,4000000,5000000
40M0,1.6E+07,1.7E+07,4000000,5000000
40N0,1.5E+07,1.6E+07,4000000,5000000
40O0,1.4E+07,1.5E+07,4000000,5000000
40P0,1.3E+07,1.4E+07,4000000,5000000
40Q0,1.2E+07,1.3E+07,4000000,5000000
40R0,1.1E+07,1.2E+07,4000000,5000000
40S0,1E+07,1.1E+07,4000000,5000000
40T0,9000000,1E+07,4000000,5000000
40U0,8000000,9000000,4000000,5000000
40V0,7000000,8000000,4000000,5000000
40W0,6000000,7000000,4000000,5000000
40X0,5000000,6000000,4000000,5000000
40Y0,4000000,5000000,4000000,5000000
40Z0,3000000,4000000,4000000,5000000
5000,-1.5E+07,-1.4E+07,5000000,6000000
5010,-1.4E+07,-1.3E+07,5000000,6000000
5020,-1.3E+07,-1.2E+07,5000000,6000000
5030,-1.2E+07,-1.1E+07,5000000,6000000
5040,-1.1E+07,-1E+07,5000000,6000000
5050,-1E+07,-9000000,5000000,6000000
5060,-9000000,-8000000,5000000,6000000
5070,-8000000,-7000000,5000000,6000000
5080,-7000000,-6000000,5000000,6000000
5090,-6000000,-5000000,5000000,6000000
50A0,-5000000,-4000000,5000000,6000000
50B0,-4000000,-3000000,5000000,6000000
50C0,-3000000,-2000000,5000000,6000000
50D0,-2000000,-1000000,5000000,6000000
50E0,-1000000,0,5000000,6000000
50F0,0,1000000,5000000,6000000
50G0,1000000,2000000,5000000,6000000
50H0,2000000,3000000,5000000,6000000
50I0,-1.6E+07,-1.5E+07,5000000,6000000
50J0,-1.7E+07,-1.6E+07,5000000,6000000
50K0,-1.8E+07,-1.7E+07,5000000,6000000
50L0,1.7E+07,1.8E+07,5000000,6000000
50M0,1.6E+07,1.7E+07,5000000,6000000
50N0,1.5E+07,1.6E+07,5000000,6000000
50O0,1.4E+07,1.5E+07,5000000,6000000
50P0,1.3E+07,1.4E+07,5000000,6000000
50Q0,1.2E+07,1.3E+07,5000000,6000000
50R0,1.1E+07,1.2E+07,5000000,6000000
50S0,1E+07,1.1E+07,5000000,6000000
50T0,9000000,1E+07,5000000,6000000
50U0,8000000,9000000,5000000,6000000
50V0,7000000,8000000,5000000,6000000
50W0,6000000,7000000,5000000,6000000
50X0,5000000,6000000,5000000,6000000
50Y0,4000000,5000000,5000000,6000000
50Z0,3000000,4000000,5000000,6000000
6000,-1.5E+07,-1.4E+07,6000000,7000000
6010,-1.4E+07,-1.3E+07,6000000,7000000
6020,-1.3E+07,-1.2E+07,6000000,7000000
6030,-1.2E+07,-1.1E+07,6000000,7000000
6040,-1.1E+07,-1E+07,6000000,7000000
6050,-1E+07,-9000000,6000000,7000000
6060,-9000000,-8000000,6000000,7000000
6070,-8000000,-7000000,6000000,7000000
6080,-7000000,-6000000,6000000,7000000
6090,-6000000,-5000000,6000000,7000000
60A0,-5000000,-4000000,6000000,7000000
60B0,-4000000,-3000000,6000000,7000000
60C0,-3000000,-2000000,6000000,7000000
60D0,-2000000,-1000000,6000000,7000000
60E0,-1000000,0,6000000,7000000
60F0,0,1000000,6000000,7000000
60G0,1000000,2000000,6000000,7000000
60H0,2000000,3000000,6000000,7000000
60I0,-1.6E+07,-1.5E+07,6000000,7000000
60J0,-1.7E+07,-1.6E+07,6000000,7000000
60K0,-1.8E+07,-1.7E+07,6000000,7000000
60L0,1.7E+07,1.8E+07,6000000,7000000
